id_solicitud,asignatura,semestre_grupo,PTS_SOLICITUD,total,adjudicacion,diferencia
29,0100 FISICA Y QUIMICA AMBIENTAL,"LCA, semestre 1, G1",60.1875,60.1875,VALIDADA,0
18,0101 FUNDAMENTOS DE ECOLOGIA,"LCA, semestre 1, G1",73.25,73.25,VALIDADA,0
31,0101 FUNDAMENTOS DE ECOLOGIA,"LCA, semestre 1, G1",49.75,49.75,CONDICIONADA,23.5
14,0101 FUNDAMENTOS DE ECOLOGIA,"LCA, semestre 1, G1",35.5,35.5,CONDICIONADA,37.75
23,0104 INTRODUCCION A LAS CIENCIAS AMBIENTALES,"LCA, semestre 1, G1",58.5,58.5,VALIDADA,0
3,0105 INTRODUCCION A LAS CIENCIAS SOCIALES,"LCA, semestre 1, G1",36.25,36.25,VALIDADA,0
15,0101 FUNDAMENTOS DE ECOLOGIA,"LCA, semestre 1, G2",35.5,35.5,VALIDADA,0
6,0103 INTRODUCCION A LA ESTADISTICA,"LCA, semestre 1, G2",49.5,49.5,VALIDADA,0
24,0104 INTRODUCCION A LAS CIENCIAS AMBIENTALES,"LCA, semestre 1, G2",58.5,58.5,NO VALIDADA,0
8,0300 FUNDAMENTOS DE INVESTIGACION EN CIENCIAS AMBIENTALES I,"LCA, semestre 3",69,69,NO VALIDADA,0
28,0304 MODELACION MATEMATICA,"LCA, semestre 3",48.5,48.5,NO VALIDADA,0
16,"0305 NATURALEZA, CULTURA Y SOCIEDAD","LCA, semestre 3",30.5,30.5,NO VALIDADA,0
12,0306 TECNOLOGIA Y DESARROLLO SUSTENTABLE,"LCA, semestre 3",64,64,VALIDADA,0
25,0502 BIOLOGIA DE LA CONSERVACION,"LCA, semestre 5",67.8125,67.8125,VALIDADA,0
11,0508  HISTORIA E HISTORIOGRAFIA AMBIENTAL,"LCA, semestre 5",44.5,44.5,VALIDADA,0
20,0508  HISTORIA E HISTORIOGRAFIA AMBIENTAL,"LCA, semestre 5",12,12,CONDICIONADA,32.5
13,0510 ESTRATEGIAS DE MITIGACIÓN Y ADAPTACIÓN AL CAMBIO CLIMÁTICO,"LCA, semestre 5",58.5,58.5,VALIDADA,0
5,0511 EVALUACION DE LA SUSTENTABILIDAD DE SISTEMAS DE MANEJO DE RECURSOS NATURALES Y TECNOLOGÍAS,"LCA, semestre 5",45.5,45.5,VALIDADA,0
1,0507 ECONOMIA ECOLOGICA,"LCA, semestre 7",70,70,VALIDADA,0
26,0507 ECONOMIA ECOLOGICA,"LCA, semestre 7",69,69,CONDICIONADA,1
30,0507 ECONOMIA ECOLOGICA,"LCA, semestre 7",39.0625,39.0625,CONDICIONADA,30.9375
10,0700 DESARROLLO DE PROYECTOS 2,"LCA, semestre 7",68.4375,68.4375,NO VALIDADA,0
22,0700 DESARROLLO DE PROYECTOS 2,"LCA, semestre 7",65.5,65.5,CONDICIONADA,2.9375
17,0700 DESARROLLO DE PROYECTOS 2,"LCA, semestre 7",62.5,62.5,CONDICIONADA,5.9375
4,0700 DESARROLLO DE PROYECTOS 2,"LCA, semestre 7",50,50,CONDICIONADA,18.4375
19,0702 APROVECHAMIENTO DE RECURSOS NATURALES Y SERVICIOS ECOSISTEMICOS,"LCA, semestre 7",58.5,58.5,NO VALIDADA,0
21,0705 GESTION AMBIENTAL DEL DESARROLLO 2,"LCA, semestre 7",17.5,17.5,NO VALIDADA,0
27,0706 SEMINARIO DE MOVIMIENTOS Y CONFLICTOS AMBIENTALES,"LCA, semestre 7",51.5,51.5,VALIDADA,0
2,0010 INTRODUCCION A LA ESCRITURA DE TEXTOS CIENTIFICOS,"LCA, semestres 5° y 7° (optativas)",58,58,VALIDADA,0
7,0938 TEMAS SELECTOS EN CIENCIAS AMBIENTALES II (Mamiferos Marinos),"LCA, semestres 5° y 7° (optativas)",41.75,41.75,VALIDADA,0
9,0945 TEMAS SELECTOS EN CIENCIAS AMBIENTALES IX (Ecología química marina),"LCA, semestres 5° y 7° (optativas)",67.25,67.25,VALIDADA,0
